TELERIDE_NUMBER,STOP_NAME,STATUS,CREATE_DT_UTC,MOD_DT_UTC,GLOBALID,POINT
2598,WB 50 AV SE @ 30 St SE.,ACTIVE,2024/09/29,2024/09/29,dd8a4598-119a-4174-af6c-14bb3c7dcbe5,POINT (-113.9893834 51.0089585)
4521,NB 20A ST SE @ Lynndale RD,ACTIVE,2024/09/29,2024/09/29,4f2c2aab-7f85-4494-bc07-0024e28950f1,POINT (-114.0100911 50.9900209)
9269,SB Strathcona BV @ Bow TR SW,ACTIVE,2024/09/29,2024/09/29,7073c0a2-4324-4d44-a22c-bd9e5956f1e8,POINT (-114.1829899 51.0510152)
9185,SB Crowchild TR @ 54 AV SW,ACTIVE,2024/09/29,2024/09/29,c2b25d51-a605-4f18-8743-67e0ff4fc86f,POINT (-114.1182207 51.0053855)
4865,NB 4 ST NW @ 20 AV NW,ACTIVE,2024/09/29,2024/09/29,daa40776-28ec-489a-9da4-611e51cf82bb,POINT (-114.0714182 51.0709737)
6617,EB 26 AV NE @ 38 ST NE,ACTIVE,2024/09/29,2024/09/29,b981beee-8cad-4860-959f-8be1e9dcf51a,POINT (-113.9774587 51.0777998)
3536,WB Royal Oak DR NW @ Royal Elm DR NW,ACTIVE,2024/09/29,2024/09/29,65445b01-03f6-4d5a-8993-381f6918741b,POINT (-114.2313333 51.1388329)
5405,SB 23 ST NW@ 2 AV NW,ACTIVE,2024/09/29,2024/09/29,810ef3f1-f7fd-45be-a95f-b387208442a0,POINT (-114.1154726 51.0540534)
6528,WB Richmond RD @ 48 ST SW,ACTIVE,2024/09/29,2024/09/29,3f893fbb-eae3-4acb-a7bf-639d58347ce1,POINT (-114.1574756 51.0183756)
5071,WB Pensacola WY @ Pennsburg DR SE,ACTIVE,2024/09/29,2024/09/29,b6907de6-21a2-4c62-9517-354ce3a955e7,POINT (-113.9517555 51.0411066)
5594,EB 25 AV SW @ 4 ST SW,ACTIVE,2024/09/29,2024/09/29,dd5d33e3-aaa6-465c-9766-5cdc72da8374,POINT (-114.0711786 51.0305051)
7325,EB Sandarac DR @ Sandalwood GA NW,ACTIVE,2024/09/29,2024/09/29,77fd903c-2f9d-466f-bfea-f9854cd1a847,POINT (-114.1039891 51.1396513)
4003,Dalhousie LRT Station NB,ACTIVE,2024/09/29,2024/09/29,6f121e56-bbc3-4609-be5a-0d98be35125d,POINT (-114.1582441 51.1041321)
8356,WB Richardson WY @ Richard RD SW,INACTIVE,2024/09/29,2024/09/29,2371378d-cf23-4905-84a6-f4788b6a0f3b,POINT (-114.1228222 51.0126247)
7484,WB 34 AV NW @ 71 ST NW,ACTIVE,2024/09/29,2024/09/29,6f86555c-f0bc-4df0-aa40-7c2fc2e9bcb3,POINT (-114.1911451 51.0838982)
6247,WB Chaparral DR @ Chaparral ST SE,ACTIVE,2024/09/29,2024/09/29,e1ccb277-9c8c-4ad0-ade6-089e3420c099,POINT (-114.0367964 50.8871237)
2877,NB 4A ST @ 69 AV SW,ACTIVE,2024/09/29,2024/09/29,5ce7968b-873e-482f-8a8c-584a92d5197a,POINT (-114.0737162 50.9916126)
2195,EB Sage Hill BV @ Sage Hill PS NW,ACTIVE,2024/09/29,2024/09/29,e0d51ed6-730b-47a5-8e9d-d80d53fed817,POINT (-114.1458899 51.1704966)
4354,EB 14 AV SE @ 49 ST SE,INACTIVE,2024/09/29,2024/09/29,f59245c5-1363-4041-a2b8-a7aa66e73f67,POINT (-113.9622427 51.0408851)
4243,EB Oakwood DR @ Oakmount WY SW,ACTIVE,2024/09/29,2024/09/29,db7b1206-002c-44f8-810f-b6afef2b24f3,POINT (-114.1354121 50.9721516)
2589,WB 108 AV NE @ 36 ST NE,INACTIVE,2024/09/29,2024/09/29,3ec75357-f0d9-4195-a3ae-df732571c264,POINT (-113.9809083 51.1511584)
6732,NB Nose Hill DR @ Silver Springs RD NW,ACTIVE,2024/09/29,2024/09/29,e7aefd33-b744-4c22-9fb9-af2b13d1c38f,POINT (-114.2108529 51.1102209)
2823,WB 76 AV SE @ 62 ST SE,ACTIVE,2024/09/29,2024/09/29,8b15821f-e163-4d48-9b48-8ef6ec75c7d5,POINT (-113.9413868 50.985231)
6990,NB Hidden Valley DR @ Hidden Vale CR NW,ACTIVE,2024/09/29,2024/09/29,7c92db79-121a-450d-9078-ceb21329257a,POINT (-114.1028349 51.1443809)
5675,EB Regal CR @ Russet RD NE,ACTIVE,2024/09/29,2024/09/29,f2de8ec4-d780-4649-8d15-b99c4330c57a,POINT (-114.0420463 51.0632085)
3609,NB Cranarch RD @ Cranford DR SE,ACTIVE,2024/09/29,2024/09/29,245e303d-4353-492d-9917-c5aa9cf89bbd,POINT (-113.9760248 50.8777246)
6621,EB 20 AV NW @ 14 ST NW,ACTIVE,2024/09/29,2024/09/29,aa72edfe-8be0-4235-a0b5-fa54c14cd3b0,POINT (-114.0941357 51.0704707)
